# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 597  of event 'cpu-clock'
# Event count (approx.): 6030302970
#
# Overhead  Command          Shared Object                     Symbol
# ........  ...............  ................................  .........................................
#
     0.17%  queue0:src       [kernel.kallsyms]                 [k] vm_area_alloc
     0.17%  queue0:src       [vdso]                            [.] __kernel_clock_gettime
     0.17%  queue0:src       libc.so.6                         [.] 0x000000000009e740
     0.17%  queue0:src       libgobject-2.0.so.0.7600.1        [.] g_object_unref
     0.17%  queue0:src       libgobject-2.0.so.0.7600.1        [.] g_quark_to_string@plt
     0.17%  queue0:src       libgobject-2.0.so.0.7600.1        [.] g_signal_emit
     0.17%  queue0:src       libgobject-2.0.so.0.7600.1        [.] 0x0000000000037f48
     0.17%  queue0:src       libgstbase-1.0.so.0.2411.0        [.] gst_queue_array_peek_tail_struct
     0.17%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] gst_memory_map
     0.17%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] gst_memory_unmap
     0.17%  queue0:src       libgstrockchipmpp.so              [.] gst_mpp_allocator_import_mppbuf
     0.17%  queue0:src       libgstvideo4linux2.so             [.] 0x0000000000022958
     0.17%  queue0:src       librga.so.2.1.0                   [.] _Z7RgaBlitP8rga_infoS0_S0_
     0.17%  queue0:src       librockchip_mpp.so.0              [.] mpp_buffer_ref_dec
     0.17%  queue0:src       librockchip_mpp.so.0              [.] 0x00000000000967d0
     0.17%  v4l2src0:src     [kernel.kallsyms]                 [k] arch_local_irq_restore
     0.17%  v4l2src0:src     [kernel.kallsyms]                 [k] get_futex_key
     0.17%  v4l2src0:src     [vdso]                            [.] __kernel_clock_gettime
     0.17%  v4l2src0:src     libglib-2.0.so.0.7600.1           [.] 0x00000000000bb878
     0.17%  v4l2src0:src     libgobject-2.0.so.0.7600.1        [.] g_object_ref
     0.17%  v4l2src0:src     libgstallocators-1.0.so.0.2411.0  [.] gst_is_dmabuf_memory
     0.17%  v4l2src0:src     libgstbase-1.0.so.0.2411.0        [.] 0x0000000000048170
     0.17%  v4l2src0:src     libgstbase-1.0.so.0.2411.0        [.] 0x0000000000048fc0
     0.17%  v4l2src0:src     libgstcoreelements.so             [.] 0x000000000000d54c
     0.17%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0      [.] gst_clock_get_time
     0.17%  v4l2src0:src     libgstvideo4linux2.so             [.] g_mutex_lock@plt
     0.17%  v4l2src0:src     libgstvideo4linux2.so             [.] 0x0000000000023510
     0.17%  v4l2src0:src     libgstvideo4linux2.so             [.] 0x0000000000028540


#
# (Cannot load tips.txt file, please install perf!)
#
