# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 663  of event 'cpu-clock'
# Event count (approx.): 6696969630
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ............................................
#
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000017f3e0
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000017f434
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000018b8a4
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000194194
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000019a470
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000019c560
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001a6090
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001a6850
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001a6898
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001a68dc
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001a7b98
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001adc40
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001bf380
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000002212fc
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000023ebf8
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000023ec14
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000002406b8
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000240878
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000024088c
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000240b1c
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000240b34
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000240b3c
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000240da4
     0.15%  queue0:src       [kernel.kallsyms]             [k] __fget_light
     0.15%  queue0:src       [kernel.kallsyms]             [k] __get_free_pages
     0.15%  queue0:src       [kernel.kallsyms]             [k] __get_task_comm
     0.15%  queue0:src       [kernel.kallsyms]             [k] __iommu_map
     0.15%  queue0:src       [kernel.kallsyms]             [k] __kmem_cache_alloc_node
     0.15%  queue0:src       [kernel.kallsyms]             [k] __radix_tree_replace
