# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 656  of event 'cpu-clock'
# Event count (approx.): 6626262560
#
# Overhead  Command          Shared Object                     Symbol
# ........  ...............  ................................  .......................................
#
     0.15%  queue0:src       [kernel.kallsyms]                 [k] prepare_to_wait_event
     0.15%  queue0:src       [kernel.kallsyms]                 [k] rga_mm_check_range_sgt
     0.15%  queue0:src       [kernel.kallsyms]                 [k] rga_request_commit
     0.15%  queue0:src       [kernel.kallsyms]                 [k] rk_iommu_enable
     0.15%  queue0:src       [kernel.kallsyms]                 [k] rwsem_read_trylock
     0.15%  queue0:src       [kernel.kallsyms]                 [k] sg_alloc_append_table_from_pages
     0.15%  queue0:src       [kernel.kallsyms]                 [k] vm_normal_page
     0.15%  queue0:src       [kernel.kallsyms]                 [k] vma_mas_store
     0.15%  queue0:src       [kernel.kallsyms]                 [k] workingset_activation
     0.15%  queue0:src       libc.so.6                         [.] cfree
     0.15%  queue0:src       libc.so.6                         [.] 0x000000000008f680
     0.15%  queue0:src       libglib-2.0.so.0.7600.1           [.] g_hash_table_lookup
     0.15%  queue0:src       libgobject-2.0.so.0.7600.1        [.] g_type_check_instance_cast
     0.15%  queue0:src       libgobject-2.0.so.0.7600.1        [.] 0x00000000000195f0
     0.15%  queue0:src       libgstallocators-1.0.so.0.2411.0  [.] 0x00000000000038d8
     0.15%  queue0:src       libgstcoreelements.so             [.] 0x0000000000047538
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] gst_buffer_add_meta
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] gst_buffer_resize
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] gst_debug_log
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] gst_segment_clip
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] gst_task_get_state
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] 0x00000000000d6b6c
     0.15%  queue0:src       libgstrockchipmpp.so              [.] gst_mpp_rga_info_from_video_info
     0.15%  v4l2src0:src     [kernel.kallsyms]                 [k] arch_local_irq_restore
     0.15%  v4l2src0:src     [kernel.kallsyms]                 [k] arch_local_irq_restore
     0.15%  v4l2src0:src     [kernel.kallsyms]                 [k] futex_hash
     0.15%  v4l2src0:src     [vdso]                            [.] __kernel_clock_gettime
     0.15%  v4l2src0:src     libc.so.6                         [.] getenv
     0.15%  v4l2src0:src     libc.so.6                         [.] 0x000000000009e790
     0.15%  v4l2src0:src     libglib-2.0.so.0.7600.1           [.] g_hash_table_lookup
     0.15%  v4l2src0:src     libgstcoreelements.so             [.] gst_queue_array_get_length@plt
     0.15%  v4l2src0:src     libgstcoretracers.so              [.] gst_event_get_structure@plt
     0.15%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0      [.] gst_pad_push
     0.15%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0      [.] 0x0000000000083180
     0.15%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0      [.] 0x00000000000d6be0
     0.15%  v4l2src0:src     libgstvideo4linux2.so             [.] 0x000000000001fa68
     0.15%  v4l2src0:src     libgstvideo4linux2.so             [.] 0x00000000000223d4


#
# (Cannot load tips.txt file, please install perf!)
#
